City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ferrol,43.4832,-8.2369,61.68,68,100,3.96,ES,1686624701
84,iranshahr,27.2025,60.6848,91.74,29,2,4.61,IR,1686624701
85,vestmannaeyjar,63.4427,-20.2734,46.47,84,5,10.49,IS,1686624701
86,yulara,-25.2406,130.9889,59.43,27,1,8.68,AU,1686624422
87,quang ngai,15.1167,108.8,88.83,59,100,1.59,VN,1686624701
88,gat,31.61,34.7642,68.68,75,0,3.36,IL,1686624701
89,avarua,-21.2078,-159.775,78.85,83,20,17.27,CK,1686624701
90,geraldton,-28.7667,114.6,63.01,55,0,13.8,AU,1686624701
91,prince rupert,54.3161,-130.3201,56.89,84,100,18.41,CA,1686624606
92,akita,39.7167,140.1167,79.74,65,75,6.91,JP,1686624702
93,maceio,-9.6658,-35.7353,74.64,100,75,5.75,BR,1686624488
94,hohhot,40.8106,111.6522,77.29,25,0,2.24,CN,1686624702
95,yingcheng,30.95,113.55,82.89,56,94,4.38,CN,1686624702
96,karatau,43.1667,70.4667,72.5,21,100,5.84,KZ,1686624702
97,quesnel,52.9999,-122.5029,82.9,26,0,5.75,CA,1686624608
98,dingle,10.9995,122.6711,89.1,63,100,7.09,PH,1686624702
99,meulaboh,4.1363,96.1285,84.49,67,60,1.92,ID,1686624702
100,kenitra,34.261,-6.5802,66.96,85,83,5.55,MA,1686624702
101,new norfolk,-42.7826,147.0587,56.7,77,94,3.06,AU,1686624702
102,tachov,49.7953,12.6337,50.4,76,0,3.31,CZ,1686624485
103,flinders,-34.5833,150.8552,71.06,61,49,5.99,AU,1686624702
104,tayoltita,24.0833,-105.9333,72.72,50,2,2.46,MX,1686624703
105,muisne,0.6,-80.0333,78.73,90,83,6.42,EC,1686624703
106,lashio,22.9333,97.75,75.47,89,100,2.71,MM,1686624703
107,mount gambier,-37.8333,140.7667,52.2,84,100,10.67,AU,1686624703
108,port lincoln,-34.7333,135.8667,56.44,61,95,21.7,AU,1686624703
109,nikel,69.4128,30.222,48.38,59,46,20.47,RU,1686624703
110,plettenberg bay,-34.0527,23.3716,55.87,65,96,8.48,ZA,1686624703
111,daru,-9.0763,143.2092,79.75,87,99,14.18,PG,1686624703
112,kodiak,57.79,-152.4072,56.71,47,20,13.8,US,1686624601
113,saskylakh,71.9167,114.0833,60.03,44,92,8.43,RU,1686624703
114,tanete,-3.9443,119.7848,87.24,63,66,10.31,ID,1686624703
115,moa,20.6569,-74.9403,80.04,88,74,8.1,CU,1686624704
116,castro,-24.7911,-50.0119,53.1,98,100,10.09,BR,1686624704
117,hobart,-42.8794,147.3294,57.06,76,75,5.75,AU,1686624704
118,alpena,45.0617,-83.4327,53.92,88,100,8.05,US,1686624429
119,torbay,47.6666,-52.7314,46.38,95,100,16.11,CA,1686624704
120,sambava,-14.2667,50.1667,69.31,87,1,5.7,MG,1686624704
121,pisco,-13.7,-76.2167,68.05,77,2,6.91,PE,1686624704
122,saint george,37.1041,-113.5841,72.25,42,0,4.61,US,1686624682
123,hilo,19.7297,-155.09,83.93,65,0,5.01,US,1686624704
124,muhos,64.808,25.9931,57.76,54,65,8.79,FI,1686624704
125,sao filipe,14.8961,-24.4956,76.55,77,100,11.54,CV,1686624704
126,svetlogorsk,52.6333,29.7333,51.6,72,100,8.84,BY,1686624704
127,georgetown,5.4112,100.3354,87.73,79,20,6.91,MY,1686624501
128,puerto escondido,15.85,-97.0667,84.15,77,7,5.53,MX,1686624705
129,sakakah,29.9697,40.2064,72.97,27,0,5.84,SA,1686624495
130,komsomolskiy,40.4272,71.7189,72.32,73,97,2.3,UZ,1686624705
131,gap,44.6667,6.0,46.31,83,87,3.0,FR,1686624705
132,lichinga,-13.3128,35.2406,60.89,72,0,2.3,MZ,1686624705
133,boysun,38.2061,67.1986,81.48,27,0,3.04,UZ,1686624705
134,koygorodok,60.445,50.9968,56.86,61,65,7.87,RU,1686624705
135,puerto ayacucho,5.6639,-67.6236,76.26,92,96,3.31,VE,1686624705
136,baykit,61.67,96.37,61.75,42,100,8.63,RU,1686624705
137,qaanaaq,77.484,-69.3632,32.2,98,100,5.53,GL,1686624705
138,asilah,35.465,-6.0348,69.76,88,65,9.51,MA,1686624706
139,mahebourg,-20.4081,57.7,74.25,94,40,4.61,MU,1686624706
140,ivankiv,50.9386,29.8943,50.52,91,100,8.61,UA,1686624706
141,doctor juan leon mallorquin,-25.4,-55.2667,51.53,51,98,7.2,PY,1686624706
142,katangli,51.7102,143.2326,44.35,95,100,8.12,RU,1686624706
143,mudkhed,19.1667,77.5167,87.84,41,18,15.05,IN,1686624706
144,shieli,44.1667,66.75,82.83,14,0,22.44,KZ,1686624706
145,port alfred,-33.5906,26.891,59.0,57,100,18.92,ZA,1686624706
146,abu samrah,35.3029,37.1841,64.56,79,0,10.36,SY,1686624706
147,yellowknife,62.456,-114.3525,45.12,70,75,6.91,CA,1686624638
148,sibolga,1.7427,98.7792,85.89,65,28,3.0,ID,1686624707
149,novopokrovka,49.8425,36.5477,51.98,87,100,9.78,UA,1686624707
150,port hardy,50.6996,-127.4199,66.38,63,40,13.8,CA,1686624707
151,zarechnyy,53.2036,45.1923,51.31,63,100,11.34,RU,1686624707
152,lagos,6.5833,3.75,79.12,86,80,3.62,NG,1686624555
153,darapidap,17.2131,120.4114,88.02,80,100,17.81,PH,1686624707
154,puerto ayora,-0.7393,-90.3518,79.56,92,76,7.0,EC,1686624707
155,cedar city,37.6775,-113.0619,59.97,46,0,4.61,US,1686624513
156,nouadhibou,20.931,-17.0347,69.78,82,0,19.91,MR,1686624707
157,nabire,-3.3667,135.4833,84.33,68,99,3.69,ID,1686624557
158,guayaramerin,-10.8368,-65.3614,71.42,99,100,5.23,BO,1686624707
159,lanxi,29.2195,119.477,74.89,91,100,2.91,CN,1686624707
160,clyde river,70.4692,-68.5914,30.43,86,100,8.05,CA,1686624708
161,katsuura,35.1333,140.3,74.95,80,89,9.06,JP,1686624708
162,chapais,49.7834,-74.8492,64.18,60,100,5.19,CA,1686624459
163,sturgeon bay,44.8342,-87.377,57.16,66,100,5.75,US,1686624562
164,nishihara,26.1842,127.7558,81.68,100,100,14.97,JP,1686624708
165,vila franca do campo,37.7167,-25.4333,66.61,98,100,10.38,PT,1686624708
166,matagami,49.7502,-77.6328,62.71,67,100,2.3,CA,1686624708
167,yumen,40.2833,97.2,85.32,12,0,23.24,CN,1686624708
168,raudeberg,61.9875,5.1352,56.07,72,94,2.57,NO,1686624708
169,saint-augustin,51.226,-58.6502,55.74,51,99,6.17,CA,1686624708
170,buba,11.5833,-15.0,77.63,92,100,4.97,GW,1686624709
171,pangnirtung,66.1451,-65.7125,24.31,96,94,4.23,CA,1686624709
172,havre-saint-pierre,50.2334,-63.5986,55.4,82,0,2.3,CA,1686624709
173,antofagasta,-23.65,-70.4,60.08,81,42,7.07,CL,1686624709
174,pevek,69.7008,170.3133,32.11,99,100,7.9,RU,1686624709
175,yerbogachen,61.2767,108.0108,60.21,37,0,6.67,RU,1686624709
176,ndele,8.4109,20.6473,70.86,97,91,2.82,CF,1686624709
177,nakhon sawan,15.7,100.0833,82.76,70,98,9.13,TH,1686624709
178,lata,40.1629,-8.3327,65.07,98,99,3.85,PT,1686624709
179,mandali,33.7499,45.5541,92.44,17,0,8.19,IQ,1686624709
180,sorland,67.667,12.6934,44.46,79,100,13.85,NO,1686624709
181,kushima,31.4583,131.2333,79.2,80,100,4.36,JP,1686624620
182,birsk,55.4211,55.5428,50.52,60,0,10.56,RU,1686624710
183,fortuna,40.5982,-124.1573,56.35,94,100,11.5,US,1686624538
184,nanortalik,60.1432,-45.2371,44.64,76,100,9.46,GL,1686624710
185,alice town,25.7167,-79.3,82.96,75,100,9.98,BS,1686624710
186,adrar,20.5022,-10.0711,81.54,20,35,13.33,MR,1686624710
