City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,trinidad,-14.8333,-64.9,22.42,97,100,0.3,BO,1675915034
294,arman,59.7,150.1667,-16.66,77,100,3.91,RU,1675914944
295,westport,41.1415,-73.3579,6.16,66,0,0.45,US,1675914994
296,tucupita,9.0622,-62.051,20.88,99,36,1.52,VE,1675915035
297,marzuq,14.4,46.4667,17.93,27,55,0.23,YE,1675914994
298,union city,37.5958,-122.0192,14.07,77,0,1.34,US,1675915006
299,madang,-5.2246,145.7966,27.97,76,98,2.55,PG,1675915036
300,wajid,3.8093,43.2471,22.61,64,9,6.79,SO,1675915037
301,severnyy,50.677,36.5532,-11.98,85,75,3.13,RU,1675915037
302,whitehorse,60.7161,-135.0538,-4.57,63,20,6.17,CA,1675914780
303,xining,36.6167,101.7667,-2.1,45,2,1.63,CN,1675915010
304,malinyi,-8.9333,36.1333,21.32,98,100,0.66,TZ,1675915038
305,marsa matruh,31.3525,27.2453,11.11,62,40,3.6,EG,1675915039
306,flinders,-34.5833,150.8552,22.88,87,100,1.79,AU,1675914835
307,manokwari,-0.8667,134.0833,25.19,83,100,0.26,ID,1675914856
308,poum,-20.2333,164.0167,27.46,81,99,5.34,NC,1675915040
309,pontian kecil,1.4801,103.3899,31.12,76,94,0.48,MY,1675915041
310,ahar,38.4774,47.0699,-4.07,90,98,2.03,IR,1675915041
311,aitape,-3.1374,142.3475,25.75,90,100,6.05,PG,1675915011
312,iqaluit,63.7506,-68.5145,-33.15,68,0,11.83,CA,1675914827
313,fort nelson,58.8053,-122.7002,-13.23,93,20,2.57,CA,1675914644
314,opuwo,-18.0607,13.84,17.66,42,51,1.66,,1675914913
315,cabo san lucas,22.8909,-109.9124,20.28,46,49,0.77,MX,1675914835
316,milazzo,38.2212,15.2383,9.76,93,100,0.89,IT,1675915043
317,pilar,-9.5972,-35.9567,21.96,86,89,0.68,BR,1675914966
